Model,Combined_R2,Scaled_MSE,Scaled_RMSE,Scaled_MAE,D_MSE,D_RMSE,D_MAE,D_MedAE,D_MaxAE,D_p95AE,D_p99AE,D_R2,D_AdjR2,D_ExpVar,D_MAPE,D_sMAPE,D_MSLE,D_RMSLE,D_Pearson,D_Spearman,D_MBE,D_NRMSE_range,D_NRMSE_mean,D_NRMSE_std,D_CVRMSE,P_MSE,P_RMSE,P_MAE,P_MedAE,P_MaxAE,P_p95AE,P_p99AE,P_R2,P_AdjR2,P_ExpVar,P_MAPE,P_sMAPE,P_MSLE,P_RMSLE,P_Pearson,P_Spearman,P_MBE,P_NRMSE_range,P_NRMSE_mean,P_NRMSE_std,P_CVRMSE,P_cR2,P_cMAE_deg,P_cRMSE_deg,P_cMedAE_deg,P_cMaxAE_deg,P_cp95AE_deg,E_MSE,E_RMSE,E_MAE,E_MedAE,E_MaxAE,E_p95AE,E_p99AE,E_R2,E_AdjR2,E_ExpVar,E_MAPE,E_sMAPE,E_MSLE,E_RMSLE,E_Pearson,E_Spearman,E_MBE,E_NRMSE_range,E_NRMSE_mean,E_NRMSE_std,E_CVRMSE,Train_Time(s),Best_Epoch,Best_Val_Loss,Final_Train_Loss,Train_Val_Gap,GPU_Mem_MB,Inference_Time(s),Throughput_samples_s,Params,ModelSize_MB,Epochs
MLP_Small_Raw,0.6463318095809073,0.5860503315925598,0.7655392423596323,0.5988968014717102,0.0056692390488679,0.0752943493820612,0.05436508221304857,0.038166906684637,0.3970257639884949,0.16016818769276148,0.23760111778974538,0.8127992650034717,0.8126885261735273,0.8127999898232341,62.28069388536008,33.43879094038824,0.003767714410125811,0.06138171071358154,0.9015553523840429,0.8745377238506304,0.00014815749385482655,0.1537081290406849,0.25821248021341153,0.4326670024355086,25.821248021341155,18040.888951199508,134.31637633289364,99.97973524472985,69.44114875793457,358.72637939453125,287.1031918525696,332.14186540842064,-0.7096408244581305,-0.7106521646354493,-0.7095728297061845,380.109415048213,64.47412629860067,1.618955223208089,1.2723817128551043,0.1581260879154502,0.15930274008762532,-0.8470600969604397,0.3732669359296056,0.7177874435422801,1.3075323416490052,71.77874435422801,0.1773469627276808,71.45167901061008,88.1520771559944,61.44607257843019,179.99240112304688,165.1983242034912,0.0087394970694906,0.09348527728733867,0.05407270879195432,0.027199078351259252,0.9826098680496216,0.2004337713122368,0.3402229833602899,0.9488492010115696,0.9486365937786103,0.9488514879509691,16.915577630506746,16.386544483888247,0.0027538767293679217,0.052477392554965245,0.9740936264730888,0.8713227975870268,0.0006250925715777215,0.05411094040786872,0.23514090257593556,0.22616542394546185,23.514090257593555,401.3979444503784,997,0.8451953530311584,0.9032357855749245,0.05742296818934611,28.0283203125,0.16278936862945556,25235.063165277777,11990,0.048221588134765625,1000
MLP_Medium_Raw,0.7146302906984183,0.46203288435935974,0.6797300084293467,0.5067563652992249,0.0045890331530583596,0.0677424029176583,0.04838793964167578,0.03369747102260594,0.3834570348262787,0.1461913101375103,0.2162965536117554,0.8484681327121829,0.848378493845738,0.8484693209404274,57.18911824055349,31.166375956028542,0.0030800177232422816,0.05549790737714605,0.9211347449801232,0.8919449680443807,0.0001896961627375259,0.13829136043606313,0.23231403175059817,0.3892709432873422,23.231403175059818,15450.095351569298,124.29841250623154,84.58157378902078,46.144805908203125,358.3119201660156,289.66842460632324,339.5407794237137,-0.4641248458578553,-0.4649909507496215,-0.46396726688883394,358.4431038092194,55.575502994324886,1.456865146322489,1.207006688598903,0.27639001264882124,0.2791438793981056,-1.2895127902146057,0.34542688571440316,0.6642513905235699,1.2100102668398542,66.425139052357,0.36200826596231384,58.40485396402495,77.63038203287937,41.33773422241211,179.99673461914065,161.38756561279297,0.011376635867240203,0.10666131382671133,0.06701784808652977,0.039142247289419146,0.8366137742996216,0.22831891477107993,0.37570688366889876,0.9334144734207582,0.9331377120633384,0.9334272959877621,23.474395257460998,23.426757566886646,0.0037979477751866673,0.061627492040376486,0.966321012258545,0.8493979467745025,-0.0014801458033942274,0.06173746459094944,0.26828221866487234,0.2580417148044901,26.828221866487237,353.81598925590515,994,0.6060100793838501,0.4794228095745495,-0.13291237252987492,40.68603515625,0.1462775230407715,28083.60378685787,47190,0.18300247192382812,1000
MLP_Large_Raw,0.750090381628271,0.4030383825302124,0.6348530401047257,0.46162235736846924,0.003969523130497955,0.06300415169255083,0.044287167648808266,0.029975052922964096,0.4098242223262787,0.13568365620449185,0.20574383451603376,0.8689246226504899,0.868847084846365,0.8689248559329323,52.68093510747952,29.433094400089736,0.0026728401495849834,0.05169951788542117,0.9321694983859904,0.903757690326252,-8.405230677438533e-05,0.12861855315751958,0.21606479643944576,0.3620433362865696,21.606479643944574,13782.689847891455,117.39970122573334,76.19983085122445,36.217918395996094,358.53546142578125,285.35003209114075,339.79326078891756,-0.30611353456799373,-0.3068861676700765,-0.3059420670483244,358.04859203371365,51.03887117698211,1.329259733447358,1.1529352685417156,0.355060007847228,0.3584387919450997,-1.3451399139858877,0.3262552784105219,0.6273846400277674,1.142853242795414,62.738464002776745,0.4463478379810656,52.44181401022416,72.31738231664193,33.47798919677736,179.99620056152344,157.96937608718872,0.011105961582539011,0.10538482614939881,0.06513061511449102,0.03826970234513279,0.9459887742996216,0.22170915007591227,0.37129503428935895,0.934998684253258,0.9347285076352398,0.9351315727583891,22.97160038506327,23.04807614866022,0.003653373978464755,0.06044314666250224,0.9671689851351253,0.8600125966253497,-0.004764976000781447,0.06099861083084201,0.2650715049217044,0.25495355605823966,26.50715049217044,337.23967838287354,500,0.5101187229156494,0.3649468458251352,-0.1451718770905142,65.2607421875,0.3846996068954468,10678.461652591363,183126,0.7020988464355469,500
MLP_XL_Raw,0.7793200751468722,0.36827364563941956,0.6068555393497035,0.4329811632633209,0.0035333689513537066,0.05944214793691179,0.04082982616586123,0.026362914592027657,0.4207863807678222,0.12732261791825297,0.20035386011004463,0.8833266230254636,0.883257604742752,0.8833268726770476,48.85942020090911,27.620631981149167,0.002395993181453373,0.04894888335246651,0.9398556532277693,0.9138686081728236,-8.695123865907124e-05,0.12134697252220548,0.20384935355666053,0.34157484827565454,20.384935355666055,13010.223546801466,114.06236691740824,70.78119421731704,29.726425170898438,358.72637939453125,289.6782693862915,340.8609375,-0.23291093754331627,-0.2336402675571736,-0.2327995776890035,334.13111292769815,47.44050025202089,1.2868598322173983,1.134398445087703,0.3887935513751067,0.39263964588919764,-1.0840288830942026,0.3169807834795848,0.6095499073851778,1.1103652270957138,60.95499073851777,0.5132934711539205,47.41233623634191,67.80438535707273,27.51435089111328,179.91583251953125,154.18585205078128,0.010022477870875813,0.10011232626842617,0.06137968330556108,0.03552251309156415,0.9323168992996216,0.21171609759330723,0.3605269920825949,0.9413401312612325,0.9410963127359124,0.9415554666476156,21.68484915499488,22.084319838157462,0.003299927941357557,0.057444999271978034,0.9704978091514358,0.8579713174378374,-0.006065613191172149,0.05794679416902797,0.2518097334768511,0.24219799491070826,25.18097334768511,137.74921011924744,298,0.44947293400764465,0.3050060529897731,-0.14635711649217426,90.13818359375,0.16434881687164307,24995.616507591658,438934,1.6778888702392578,300
MLP_XXL_Raw,0.7943486757688447,0.346570760011673,0.5887026074442621,0.41526609659194946,0.003367001737700623,0.05802587127911672,0.03962768473285321,0.02566496469080443,0.4033303260803222,0.1234749667346477,0.1967775430530312,0.8888201406574994,0.8887543720720438,0.8888211903490594,48.08224594834521,27.23741307681508,0.002288538080727781,0.047838667213121445,0.9427740578181905,0.9161778964256654,-0.00017829512255406976,0.11845574313965185,0.19899241128305145,0.33343643973402276,19.899241128305146,12585.552286099633,112.18534791183576,67.87208313352781,25.9412841796875,358.97637939453125,287.4491882324219,341.7874329566956,-0.1926670600806326,-0.19337258377822386,-0.1922254960401073,291.4586305926781,46.20061885740562,1.251304198141356,1.1186170918331957,0.41297879710874547,0.4156619557325394,-2.158605981160082,0.3117645235415173,0.5995191076400227,1.0920929722695922,59.95191076400227,0.5442975321337695,44.86935458249571,65.60922197167162,24.357265472412138,179.94435119628903,152.77345657348633,0.008555115611730545,0.09249386796826342,0.05616906721202952,0.03335416316986085,0.9523364305496216,0.1869895622134206,0.3312637948989865,0.9499283545152651,0.9497202327614166,0.9499652041982946,19.72969558051786,19.69008734053859,0.0027825064798298197,0.052749469000453644,0.9747225118476819,0.8747100674791509,-0.002509191963266638,0.05353709506942684,0.2326472384517653,0.22376694457567875,23.26472384517653,114.36336851119995,298,0.4126514196395874,0.26873234877629104,-0.1433431628380999,119.27880859375,0.15920031070709229,25803.969739469805,710294,2.7130584716796875,300
MLP_diamond_Small,0.7118234189406579,0.4515761435031891,0.6719941543668286,0.5019927024841309,0.0047247933171967555,0.06873713201172096,0.04965902008061835,0.03489060699939725,0.4121604561805725,0.14477004483342168,0.2141980919986966,0.8439852731448072,0.8438929824371539,0.8439909460499453,58.843486036464775,31.63190592887892,0.00316456524476418,0.056254468664846353,0.9187249191652056,0.8850353974300106,0.00041448743612308974,0.14032203005742963,0.2357253297912391,0.3949869958051692,23.572532979123913,14531.786579946784,120.54786012180715,79.72221414107632,40.59642028808594,359.3184868246317,290.7795743942261,339.6808890104294,-0.377101519586593,-0.377916145720387,-0.3768475581908919,351.0113495912435,52.390576065350544,1.3664037858344844,1.1689327550524387,0.31766144400596225,0.3200030922085454,1.6370441014534511,0.33500405243971837,0.6442084182413575,1.1734996887884515,64.42084182413576,0.4226271331348137,54.50577863331665,73.85032022376951,37.075313568115234,179.9949493408203,158.612398147583,0.02240661834297136,0.14968840417003368,0.08943141226864401,0.044566407799720736,1.3702433109283447,0.32044727206230145,0.6004842114448542,0.8688578505423526,0.86831276092358,0.8702573203296555,26.8510625719791,27.73053708442032,0.007314818905324894,0.08552671457109114,0.932907371923592,0.833279392170883,-0.015463178639119678,0.0866423093863002,0.3765070552607778,0.36213554017473537,37.65070552607778,383.9893412590027,1000,0.5938640832901001,0.45390092192667286,-0.13996316136342724,36.49462890625,0.1692359209060669,24273.8065181807,37046,0.1454029083251953,1000
MLP_diamond_Medium,0.8099399248124165,0.3086170554161072,0.5555331271995462,0.378265380859375,0.003099521288132549,0.055673344502845785,0.03753348349338758,0.0240723341703415,0.4117773473262787,0.11969947069883342,0.19602143783122322,0.8976524612431598,0.8975919174280416,0.897660705105553,47.20884774135002,26.195954833646134,0.002125933316017569,0.04610784440870738,0.9474638011089933,0.920123176568724,0.0004996593021652639,0.11365322485951021,0.190924717244193,0.31991801880613147,19.092471724419298,11189.072270695786,105.77841117494526,60.66610860514653,19.219623565673828,358.97637939453125,278.6137742996216,344.82608690261844,-0.06032994236251721,-0.06095718187188326,-0.06031860340128792,298.9073228141364,41.2306862057244,1.120815440762331,1.0586857138746752,0.4743679592724752,0.47774137782579873,-0.34591003551266525,0.29395956401411916,0.5652804029722323,1.029723235807815,56.52804029722323,0.5961550624932408,40.181805809579416,61.76344602021185,18.282989501953125,179.99564170837402,148.89036321640015,0.010932786164488157,0.10455996444379731,0.06343603771208933,0.03516471385955805,1.0345499515533447,0.2155280351638792,0.3691544908285141,0.9360122507008491,0.9357462869507059,0.9360757458882889,21.784852040171216,22.080137856257274,0.003595914633562746,0.059965945615513695,0.9676271331959176,0.8715653452538183,-0.00329372559301371,0.060521166211842295,0.26299675335029593,0.25295799908117317,26.29967533502959,317.4751603603363,997,0.34605443477630615,0.2036167094476319,-0.14468232886178983,56.4716796875,0.08614392280578613,47687.63560096514,143702,0.5523395538330078,1000
MLP_diamond_Large,0.828962837616889,0.2795029878616333,0.5286804212959217,0.344229519367218,0.0026572115333437507,0.05154814771981386,0.032963890385150595,0.019018821418285398,0.4089131951332092,0.11129886656999594,0.189865842089057,0.9122577213986883,0.9122058173435619,0.9122583179244652,42.62079009703639,24.137901750755468,0.0018397374635786181,0.04289216086394597,0.9551223398523607,0.9328267075580362,0.00013440741160787874,0.10523192519162892,0.17677787486548938,0.29621323164455643,17.677787486548937,10596.350699985285,102.93857731669544,56.52022194474498,14.996562957763679,359.3945428133011,276.4960479736328,345.5662475585937,-0.004160814690111758,-0.004754827281444829,-0.004117893776474979,291.20718099335386,38.3984345608508,1.0792508310852418,1.0388699779497153,0.5028457730476108,0.5068374593984674,0.6729937108488279,0.2860676292273223,0.5501043154328698,1.0020782477881214,55.01043154328698,0.6251616037622338,36.921267748304984,59.504009858722,14.34954833984375,179.98439025878906,148.52370452880862,0.008633567702516968,0.09291699361536063,0.05474632187041853,0.029915951192378998,0.9313403367996216,0.18987372517585732,0.32438110470771786,0.9494691876897452,0.949259157418529,0.9494932595300586,18.462541592790448,18.22624307395784,0.0027878089700574277,0.05279970615502919,0.9744450405743607,0.8822190195447225,-0.002028017304837676,0.05378200771598983,0.23371151455436115,0.22479059657880435,23.371151455436117,109.90474891662598,498,0.298862487077713,0.16257860742117325,-0.1339777550815705,100.32568359375,0.08555753231048584,48014.47504460724,565910,2.1629199981689453,500
MLP_diamond_XL,0.8295340574950837,0.2808016538619995,0.5299072125023394,0.34091317653656006,0.0026147285508407764,0.05113441650044299,0.03209333060267058,0.017831556499004406,0.4090676307678222,0.11183972656726836,0.1896374002099038,0.9136605279271923,0.91360945370403,0.9136629748799779,42.64031277052073,23.807881866666087,0.0018187656972177115,0.042646989310122604,0.9558598690078932,0.9357574633155212,0.00027222086205596637,0.10438732194879423,0.17535903580024442,0.2938357910003608,17.535903580024442,10208.2022100829,101.03564821429563,55.26237255218934,13.972442626953125,359.1445428133011,267.64788353443146,345.634489440918,0.032621990529958844,0.0320497368532594,0.03316136298966221,270.5648490474436,38.132708209239794,1.0476735238309791,1.023559242951271,0.5198492998121478,0.5240403611566872,-2.3857279060630496,0.28077936479720084,0.5399350519897548,0.9835537654190751,53.99350519897548,0.6211931383266387,36.8457368378675,59.8181690870511,13.418552398681626,179.99564170837402,148.1341037750244,0.007902414082358608,0.08889552341011671,0.05002193741170289,0.024299804121255895,0.8903247117996216,0.18969845175743105,0.3404046159982679,0.95374850623142,0.9535562628587878,0.9537506630630287,15.106891317428417,15.135873279651065,0.002414590080252323,0.04913847861149471,0.9766026800040059,0.9201035142726196,-0.0006070509308109104,0.051454309270392504,0.22359642305351626,0.2150616045894292,22.359642305351628,66.0717601776123,297,0.29628750681877136,0.15976301517020458,-0.13498113200777276,152.86962890625,0.08538510799407958,48111.434142413214,1266646,4.835969924926758,300
MLP_diamond_XXL,0.8424384668624706,0.25727546215057373,0.507223286285807,0.31260937452316284,0.002387146911270441,0.04885843746243264,0.029484068103251743,0.014644525945186657,0.4025655388832092,0.10764540173113347,0.187904691696167,0.921175372482528,0.9211287436751024,0.9211779039934808,40.385765565500215,22.612110514394598,0.0016748262938393902,0.040924641645827396,0.9597825508895412,0.9427054964144256,0.0002768844176803887,0.09974107050310822,0.1675538525807663,0.2807572394747319,16.75538525807663,9569.019133099044,97.8213633778381,51.52085765832013,10.648033142089815,359.04608076810837,263.2424097061157,344.43318181037915,0.09319403249919367,0.09265761029001018,0.0934189163147795,267.5288478372418,35.53181475826751,0.9803000767091333,0.9901010436865185,0.5519373863972733,0.5551270197040453,-1.540478450395782,0.2718468259298932,0.5227578963921424,0.9522636018985532,52.275789639214246,0.6482225557401069,34.17050787012613,57.64454188688816,10.320960998535156,179.9652709960937,145.04221630096436,0.007190114997577575,0.08479454580088024,0.04722537449719756,0.0232605338096619,0.9391528367996216,0.17689865529537183,0.3268389701843253,0.9579174723647769,0.9577425572132369,0.9579201902128521,14.578571569625023,14.508543796583192,0.002237839080304469,0.047305803875470384,0.978739290331997,0.9187466616606824,-0.0006814430991029624,0.049080590525938904,0.21328134880374272,0.2051402633205465,21.328134880374275,66.41623020172119,300,0.26404497027397156,0.13301501184064315,-0.1310299584333284,203.5986328125,0.08117525577545166,50606.55443283872,2245910,8.57158088684082,300
