Feature,SHAP_abs_mean
Duration_days,0.9570274196824062
Age,0.715435401573562
Body_Temperature,0.618904030623737
Heart_Rate,0.29273093895998015
Nasal_Discharge_bin,0.19882534839208316
Weight,0.15966703872680077
Vomiting_bin,0.12305238807118903
Lameness_bin,0.11278210869351583
Diarrhea_bin,0.10705495246053512
Skin_Lesions_bin,0.10166157755057367
Appetite_Loss_bin,0.0822691995864437
has_Weight_Loss,0.076101962117679
Gender_bin,0.07339816994510258
has_Lethargy,0.05272840210797087
Coughing_bin,0.04508263547126248
Eye_Discharge_bin,0.03749305561762828
has_Dehydration,0.03365706324086144
has_Sneezing,0.03244585405967673
Labored_Breathing_bin,0.025857080907296423
