Model,Class_ID,Class_Name,Precision,Recall,F1,Support
HistGradientBoosting,0,Conjunctivitis,0.9710144927536232,0.9657657657657658,0.9683830171635049,555.0
HistGradientBoosting,1,Feline Asthma,0.9839857651245552,0.9963963963963964,0.990152193375112,555.0
HistGradientBoosting,2,Feline Calicivirus,0.9620938628158845,0.9586330935251799,0.9603603603603603,556.0
HistGradientBoosting,3,Feline Chlamydiosis,0.7443609022556391,0.7122302158273381,0.7279411764705882,556.0
HistGradientBoosting,4,Feline Herpesvirus,0.7380952380952381,0.7805755395683454,0.7587412587412588,556.0
HistGradientBoosting,5,Feline Immunodeficiency Virus,0.9327102803738317,0.8974820143884892,0.9147571035747021,556.0
HistGradientBoosting,6,Feline Infectious Peritonitis,0.8636363636363636,0.85431654676259,0.8589511754068716,556.0
HistGradientBoosting,7,Feline Leukemia Virus,0.8153564899451554,0.802158273381295,0.8087035358114234,556.0
HistGradientBoosting,8,Feline Panleukopenia,0.9661921708185054,0.9766187050359713,0.9713774597495528,556.0
HistGradientBoosting,9,Feline Renal Disease,0.9627659574468085,0.9783783783783784,0.9705093833780161,555.0
HistGradientBoosting,10,Fungal Infection,0.9419475655430711,0.9063063063063063,0.9237832874196511,555.0
HistGradientBoosting,11,Gastroenteritis,0.9467140319715808,0.9586330935251799,0.9526362823949955,556.0
HistGradientBoosting,12,Hyperthyroidism,1.0,1.0,1.0,555.0
HistGradientBoosting,13,Inflammatory Bowel Disease,0.9400352733686067,0.9586330935251799,0.9492430988423864,556.0
HistGradientBoosting,14,Intestinal Parasites,0.9682539682539683,0.987410071942446,0.9777382012466608,556.0
HistGradientBoosting,15,Pancreatitis,0.9602169981916817,0.9567567567567568,0.9584837545126353,555.0
HistGradientBoosting,16,Ringworm,0.9802158273381295,0.9819819819819819,0.9810981098109811,555.0
HistGradientBoosting,17,Upper Respiratory Infection,0.9874776386404294,0.9945945945945946,0.9910233393177738,555.0
MLP_Medium,0,Conjunctivitis,0.9605734767025089,0.9657657657657658,0.963162623539982,555.0
MLP_Medium,1,Feline Asthma,0.9945848375451264,0.9927927927927928,0.9936880072137061,555.0
MLP_Medium,2,Feline Calicivirus,0.963963963963964,0.9622302158273381,0.963096309630963,556.0
