Model,mAP50,mAP50_95,Precision,Recall,F1,Params_M,GFLOPs,ModelSize_MB,Train_Time_s,Inference_ms,FPS,Epochs,Best_Epoch,Imgsz
yolov8s,0.9434015470975887,0.8483468515581776,0.8649991712143184,0.916018604785824,0.8897781259513718,11.1,0.0,21.5,171.5,4.0,247.4,300,42,640
yolov8n,0.9401278153899412,0.8462857458973367,0.8808050207726316,0.9222436679258009,0.9010481565708132,3.0,0.0,6.0,97.0,3.8,264.1,300,35,640
yolo26n,0.9359747853384923,0.834765601543116,0.854243055393377,0.8705702658305788,0.8623293783217824,2.4,0.0,5.1,189.1,4.6,216.4,300,54,640
yolo11m,0.9321827285506922,0.8346763841733874,0.8638231881407284,0.8831936398783555,0.8734010218360604,20.0,0.0,38.6,281.9,5.6,178.2,300,32,640
yolov8m,0.921541578741322,0.8283208331345234,0.8527329803643767,0.8928301823206283,0.872321041418909,25.8,0.0,49.6,230.7,5.9,169.0,300,26,640
yolo11n,0.920613010921422,0.8234796097046543,0.829445032464633,0.9093797638358548,0.8675750713981509,2.6,0.0,5.2,83.5,4.4,228.5,300,19,640
yolo26m,0.906351943104679,0.8082200998402359,0.8362011437299266,0.8458107405054177,0.8409784865537066,20.4,0.0,42.0,218.7,5.5,182.5,300,18,640
yolo26s,0.898904240870659,0.8002703696929083,0.8487581603994924,0.852434689097591,0.8505924469881365,9.5,0.0,19.4,140.4,4.6,215.5,300,26,640
yolo11s,0.9123851492467422,0.7931070697099897,0.8406623664311921,0.8507749329407694,0.8456884147741643,9.4,0.0,18.3,68.2,4.6,215.3,300,9,640
