epoch,tr_loss,val_loss,r2,mse,rmse,mae,rmse_D,rmse_P,rmse_E,lr
0,1.6465455776254936,1.4940787331532623,0.27554842829704285,0.2170732021331787,0.46591115261729754,0.31578925251960754,0.10771052852505104,0.5790532624299942,0.012721072252078868,0.00013333333333333334
1,1.411917967018404,1.327432931479761,0.33906933665275574,0.19589337706565857,0.44259843771262747,0.29281651973724365,0.10128287647716268,0.5501746496424355,0.012508087526768408,0.0002
2,1.2591515217662939,1.1884123551643502,0.39623454213142395,0.17639987170696259,0.41999984727016576,0.2694494128227234,0.09662167899234253,0.5220386545477653,0.010274611087517465,0.0002666666666666667
3,1.1255910675691334,1.0363008864855363,0.46078023314476013,0.15317004919052124,0.3913694535736294,0.24393391609191895,0.0908576365654722,0.4863764420985262,0.00933102983941024,0.0003333333333333333
4,1.006717494247183,0.935538262633954,0.505066454410553,0.13755692541599274,0.37088667462715985,0.2259960025548935,0.08646777582119569,0.4608863220251934,0.009419662090252237,0.0004
5,0.9104880841837188,0.8296749632237321,0.5456892251968384,0.12463858723640442,0.35304190577947603,0.20915962755680084,0.08131878123993405,0.4388039265338284,0.008673497146427081,0.00046666666666666666
6,0.8368059605630143,0.7507427102428371,0.5812039971351624,0.11155989021062851,0.3340058236178353,0.1940687596797943,0.07804179529225967,0.41504021139546865,0.008173812993809267,0.0005333333333333334
7,0.7685325116909523,0.701348663386652,0.5995928645133972,0.10642929375171661,0.32623502839473967,0.18710628151893616,0.07439379065523798,0.40555325695080285,0.00866606448809716,0.0006000000000000001
8,0.7196770555303176,0.659178563093735,0.6187002658843994,0.09927799552679062,0.3150841086548013,0.17873677611351013,0.07247427511722819,0.39163320132939033,0.00874298820853486,0.0006666666666666666
9,0.6782944274452878,0.6409362180758331,0.6267092227935791,0.0977373868227005,0.31262979196279506,0.17627030611038208,0.07055650862843135,0.38870804584827984,0.007742836375690138,0.0007333333333333333
10,0.653650640180824,0.5972892929941921,0.6894927620887756,0.09142326563596725,0.30236280465025334,0.17053347826004028,0.0686297858498477,0.37590692048548563,0.007578316414519598,0.0008
11,0.6236192088833028,0.5747020896208488,0.7006261944770813,0.087811179459095,0.29632951162362314,0.1646721214056015,0.0669749430991615,0.36843214721932827,0.007413281407283647,0.0008666666666666667
12,0.6010612657243032,0.5651782978389223,0.7029125690460205,0.08711722493171692,0.29515627205214007,0.16393741965293884,0.06635079452508587,0.36700526240081416,0.007862277077330369,0.0009333333333333333
13,0.5818306729872781,0.5470620388701811,0.6675600409507751,0.08323074132204056,0.2884973852949807,0.1569557785987854,0.0654754869811729,0.3586691060392451,0.007601490969097137,0.001
14,0.5662265609038201,0.5428366751994117,0.6703189015388489,0.0818544551730156,0.28610217610674615,0.15822212398052216,0.06530186280184763,0.3556561866654951,0.008323456580555028,0.0010666666666666667
15,0.5510292827542815,0.527120753870172,0.6769995093345642,0.07912474870681763,0.2812912169030836,0.15460620820522308,0.0648347509413247,0.3496171108647344,0.008357923360202293,0.0011333333333333334
16,0.5407186880752759,0.5151793683989573,0.6826401352882385,0.07763758301734924,0.27863521496277033,0.15204721689224243,0.06403406052730243,0.3463350328978018,0.007276415792665604,0.0012000000000000001
17,0.5328750097139364,0.5188464689052711,0.6802351474761963,0.07861069589853287,0.28037599023192566,0.15362437069416046,0.06422053983727982,0.3485185986383235,0.007239425092349661,0.0012666666666666666
18,0.5186283279581733,0.5045573903342425,0.6882975101470947,0.07578900456428528,0.2752980286240446,0.14948435127735138,0.06272147470594251,0.34223640519178156,0.0077205698388469485,0.0013333333333333333
19,0.5084924972489521,0.4768034861249439,0.6989812254905701,0.0722527951002121,0.268798800406944,0.14612625539302826,0.060706994005204955,0.334204450678596,0.008197226134789766,0.0014000000000000002
20,0.49885545081242333,0.4782195116503764,0.6993505954742432,0.07204356789588928,0.2684093290030905,0.14451268315315247,0.061059342360652524,0.33368093526084025,0.007702315886053208,0.0014666666666666667
21,0.49496859465120785,0.48278746463484684,0.69838547706604,0.07191964983940125,0.2681783918204471,0.14553309977054596,0.06190030346705616,0.33331211092068025,0.0073191839039162725,0.0015333333333333332
22,0.49100331453398277,0.4852574891963248,0.6960933208465576,0.0730426236987114,0.27026398890475845,0.14760014414787292,0.06182035445611177,0.33595596307097136,0.007463970405388853,0.0016
23,0.48744899916864953,0.4824143910812119,0.6985697746276855,0.07217191904783249,0.2686483185278339,0.1473076343536377,0.061622090188024115,0.3339321140202662,0.0072013265536806075,0.0016666666666666668
24,0.4733041914748281,0.471981373378786,0.702206552028656,0.07110176235437393,0.26664913717162847,0.14482873678207397,0.06064558058981111,0.33149426738822557,0.007435402034599965,0.0017333333333333335
25,0.47195636271710123,0.47367086349907567,0.7029983997344971,0.07058915495872498,0.2656861964023065,0.1439969390630722,0.06078736550889658,0.33026386429838517,0.0075328533851832784,0.0018
26,0.46491792212800315,0.47663715431245707,0.6990888714790344,0.07272552698850632,0.26967670827957374,0.14775381982326508,0.06066511130547026,0.33531964949481,0.0070838753613250115,0.0018666666666666666
