epoch,train_loss,val_loss
1,2.2800378957760197,1.7367172241210938
2,2.265580543732664,1.729804515838623
3,2.2288869049534665,1.717360496520996
4,2.20303294053454,1.6955246925354004
5,2.136338859840966,1.6577562093734741
6,2.0499645621913207,1.6067216396331787
7,1.9767393870639431,1.5652631521224976
8,1.9466292362370732,1.4982421398162842
9,1.9101960475128659,1.4518147706985474
10,1.8772512686049794,1.429146409034729
11,1.8443844898455424,1.3987460136413574
12,1.7859772574738688,1.3727658987045288
13,1.7232981784594987,1.3245043754577637
14,1.6691239402176543,1.3063021898269653
15,1.6059838982935044,1.287147045135498
16,1.559985216759029,1.221260666847229
17,1.5200587881072527,1.2038649320602417
18,1.4995472965863317,1.1854805946350098
19,1.485045650649729,1.1796808242797852
20,1.4840938204621046,1.1631221771240234
21,1.4657165912576338,1.1566613912582397
22,1.4481395222388362,1.1545369625091553
23,1.4433160871679993,1.1432435512542725
24,1.43409582138018,1.1351630687713623
25,1.4328102910615512,1.1280103921890259
26,1.4200637400950251,1.1291135549545288
27,1.4128730806555148,1.1203246116638184
28,1.4120649015944469,1.1230745315551758
29,1.4089946383056262,1.1145075559616089
30,1.4011508004294386,1.1086673736572266
31,1.394079456127199,1.108312964439392
32,1.3910540346394185,1.101386308670044
33,1.3783046420592284,1.0973514318466187
34,1.3781858419028958,1.0954158306121826
35,1.372349170516886,1.092961311340332
36,1.3727586938037604,1.098759651184082
37,1.3712194281757166,1.0875276327133179
38,1.3628450462926185,1.0842714309692383
39,1.3630303277236233,1.0802608728408813
40,1.3520050542803501,1.083253026008606
41,1.3505298390174152,1.0754491090774536
42,1.3425104574610223,1.0740330219268799
43,1.3348172761246155,1.0716722011566162
44,1.3415222430302471,1.069053292274475
45,1.340145851542769,1.0740987062454224
46,1.3402590186456822,1.069787859916687
47,1.3342439121655683,1.0641534328460693
48,1.3263389809379262,1.0595682859420776
49,1.3214936261959385,1.0576659440994263
50,1.3190022419002474,1.0545014142990112
51,1.3086052727302386,1.0532011985778809
52,1.3126246810318574,1.0516016483306885
53,1.3065534303321757,1.049433946609497
54,1.3083145526181128,1.0488168001174927
55,1.2986742206446829,1.0491430759429932
56,1.2998738354145383,1.0577809810638428
57,1.3099464876057731,1.0518819093704224
58,1.3019714390405464,1.0522117614746094
59,1.3066492097594509,1.0496636629104614
60,1.2903022897443397,1.0408244132995605
61,1.2880908370384423,1.039814829826355
62,1.2787505720358197,1.0371328592300415
63,1.271437910147377,1.0390998125076294
64,1.2749436623050507,1.0360970497131348
65,1.2606589009116842,1.031193494796753
66,1.263179083249817,1.0319782495498657
67,1.251585693262002,1.0264991521835327
68,1.2509872843958796,1.026571273803711
69,1.2475537946899802,1.026094913482666
70,1.2506970182723742,1.0273839235305786
71,1.2412301173600941,1.0235037803649902
72,1.2400812603014704,1.02692711353302
73,1.2323461446966988,1.0196260213851929
74,1.2250898218861623,1.0253932476043701
75,1.224206787358133,1.0148001909255981
76,1.2170889422434885,1.0162386894226074
77,1.2186595195578827,1.0142313241958618
78,1.2143013443513377,1.0115364789962769
79,1.2071215443342824,1.0091387033462524
80,1.2137491226580848,1.0071967840194702
81,1.2116383090109633,1.0075767040252686
82,1.2021300281776406,1.011464238166809
83,1.2044006642452454,1.0126726627349854
84,1.1972831205767518,1.0036852359771729
85,1.1921631296566426,1.0042487382888794
86,1.1866856753679211,1.0007727146148682
87,1.1815733600473255,0.9988478422164917
88,1.1849541091422648,0.9968577027320862
89,1.1783751150452977,1.0001767873764038
90,1.1786014614771598,0.9971539974212646
91,1.1905281109145098,0.9942312836647034
92,1.173628973378235,0.9918942451477051
93,1.173233817250517,0.9908182621002197
94,1.1700989652374374,0.994770884513855
95,1.1634590437547292,0.9888296127319336
96,1.1654437903692698,0.9891111254692078
97,1.1635730088803762,0.9889139533042908
98,1.1629128552980752,0.9855332374572754
99,1.1530300179954034,0.9882609248161316
100,1.158631221760995,0.9853411912918091
101,1.156169383632291,0.9854686856269836
102,1.1444872527386754,0.9833298325538635
103,1.1391977979318488,0.9856149554252625
104,1.141946266904773,0.9793693423271179
105,1.1409322106035371,0.9903864860534668
106,1.1584098589333611,0.9823949933052063
107,1.140779432850197,0.9807363152503967
108,1.1366659720325147,0.9724913835525513
109,1.1290453214640161,0.9729693531990051
110,1.1251631173588614,0.9727733135223389
111,1.1280185325230105,0.9723773002624512
112,1.1198915092228008,0.9694421291351318
113,1.116676274410084,0.9689270257949829
114,1.1104586855079983,0.9662559628486633
115,1.1147478488101168,0.9708331227302551
116,1.1188361125083939,0.9707082509994507
117,1.1129512266623836,0.9699863195419312
118,1.1101922635678891,0.9666403532028198
119,1.1008153870375732,0.9668613076210022
120,1.0967451599235678,0.9613205790519714
121,1.093039220961699,0.9621479511260986
122,1.096974890206473,0.9579193592071533
123,1.1013109946106525,0.959723711013794
124,1.0927014110361095,0.9585900902748108
125,1.0911162794171438,0.9637501835823059
126,1.0884427230688045,0.9590146541595459
127,1.0898244478976886,0.9560871124267578
128,1.0884343045072526,0.9582147598266602
129,1.0797579195644609,0.9525694251060486
130,1.0830828252910076,0.9505528807640076
131,1.0724076310789932,0.951888382434845
132,1.0691696976987004,0.9486197829246521
133,1.0612463418534568,0.9516241550445557
134,1.064513275038431,0.9498311281204224
135,1.0579540752051988,0.9449103474617004
136,1.0573223713865791,0.9458082914352417
137,1.0584350110965084,0.9489762783050537
138,1.0672006129913763,0.9494075179100037
139,1.070255824034951,0.9469043016433716
140,1.0663699240318671,0.9454395174980164
141,1.061298433236528,0.9435479044914246
142,1.04586747885222,0.9437417387962341
143,1.0480546868813554,0.9383904337882996
144,1.041130753619777,0.9412944316864014
145,1.0364630055037913,0.9383845925331116
146,1.0461141852178266,0.9382598400115967
147,1.036520167194363,0.9412058591842651
148,1.0435842591501088,0.935710072517395
149,1.0277555446811375,0.9318477511405945
150,1.0238243743417659,0.9333009719848633
151,1.0281851336751338,0.9335988759994507
152,1.014185846651851,0.9310662150382996
153,1.0218367950889953,0.9333100318908691
154,1.0262921960011595,0.933014988899231
155,1.0313216006876638,0.9371057152748108
156,1.0408049728743487,0.9288550019264221
157,1.0481484929085678,0.9347633123397827
158,1.0291654302531221,0.9318853616714478
159,1.020245552672476,0.9267595410346985
160,1.0179265054653246,0.9289140105247498
161,1.0134225807345505,0.9245865941047668
162,1.0112348536267597,0.9228445291519165
163,0.9998662699603597,0.9219756126403809
164,1.001465454340714,0.9219157695770264
165,0.9991595898039093,0.9263022541999817
166,0.9965723057669569,0.928038477897644
167,1.0301247870204853,0.9290077686309814
168,1.0122295497229916,0.9215790629386902
169,1.0012541895219786,0.9191762208938599
170,0.9920166899469425,0.9162365794181824
171,0.9935008881299515,0.9157046675682068
172,0.9868541648809543,0.9181814789772034
173,0.9914306528657006,0.9201391339302063
174,0.9865518114310601,0.9136411547660828
175,0.9819177151517201,0.9148963093757629
176,0.9798684988988614,0.9125300645828247
177,0.9826910208682033,0.9141549468040466
178,0.9796765936302934,0.9119864702224731
179,0.9758113864374494,0.9096899628639221
180,0.9735139647963609,0.9076105952262878
181,0.965231256674507,0.9058170318603516
182,0.9691156449137698,0.9136872887611389
183,0.9800239827999395,0.9071801900863647
184,0.9738168055354042,0.9084405899047852
185,0.9700552656724625,0.9030489325523376
186,0.9598990691376057,0.9053602814674377
187,0.9628590235275811,0.9052504897117615
188,0.965049383241873,0.9060972332954407
189,0.9680792185752244,0.9036626219749451
190,0.9618165376664601,0.9081369042396545
191,0.9674788547841394,0.9003224968910217
192,0.9597430102355496,0.9015775918960571
193,0.9579200011012348,0.8965926766395569
194,0.9619178431239935,0.8988091945648193
195,0.9557699435466633,0.8987298011779785
196,0.9601260745183249,0.8978559970855713
197,0.9524554095035628,0.9036930203437805
198,0.9543347283642285,0.9001026153564453
199,0.9563438522245761,0.8960237503051758
200,0.953000918646122,0.9020061492919922
201,0.9550368435293815,0.8978433012962341
202,0.9556973924262151,0.9005874991416931
203,0.9519645562149153,0.8943966031074524
204,0.9401802620568065,0.8949856758117676
205,0.941382862703919,0.8937528133392334
206,0.941582048549514,0.894425630569458
207,0.9441024018852625,0.896214485168457
208,0.9345848381858527,0.8916960954666138
209,0.935337330050715,0.8920575976371765
210,0.9292352188271663,0.8874168395996094
211,0.9341105646803975,0.8926958441734314
212,0.9435429932112717,0.8866659998893738
213,0.9276277252810701,0.8870625495910645
214,0.9337997602028407,0.8840070366859436
215,0.9262291067791325,0.8846799731254578
216,0.9325153588497681,0.887990415096283
217,0.935898425241023,0.8854008913040161
218,0.9384622121434801,0.8875808119773865
219,0.9385024402431731,0.8884473443031311
220,0.9363842696570926,0.8829467296600342
221,0.9185730261261245,0.8817941546440125
222,0.9490526145353985,0.8883587121963501
223,0.9456160049538026,0.8819471597671509
224,0.9304398774970103,0.8785513043403625
225,0.924810117122344,0.8801279664039612
226,0.9133960348410681,0.8780777454376221
227,0.9191807768045142,0.8837665319442749
228,0.9146367303786506,0.8758589029312134
229,0.9165405520323606,0.8783673048019409
230,0.9248316047355528,0.8813245892524719
231,0.9440271363055489,0.8764011263847351
232,0.9404328742615439,0.8775510191917419
233,0.9282127469610271,0.8768380284309387
234,0.906840265502838,0.8730517029762268
235,0.9049545721359228,0.8773095011711121
236,0.9098266587620466,0.8749248385429382
237,0.9081840813459244,0.8751510381698608
238,0.907376041139245,0.8765772581100464
239,0.9002494175042517,0.8695350289344788
240,0.9043343418821901,0.873085618019104
241,0.918704858394798,0.8804854154586792
242,0.9040419538122887,0.8691753149032593
243,0.8964099356009951,0.8720769286155701
244,0.8935760897105405,0.8692195415496826
245,0.8965531465322212,0.8725086450576782
246,0.8947373952678837,0.8765784502029419
247,0.8992066507436125,0.8702743053436279
248,0.8935018969436888,0.865780234336853
249,0.8888881022759126,0.8668890595436096
250,0.8864243506964417,0.8644348978996277
251,0.8918067508012445,0.8648449182510376
252,0.9028659541962656,0.8669747710227966
253,0.9242327600439103,0.872361958026886
254,0.8946135432537555,0.8724911212921143
255,0.9063427432545742,0.8696841597557068
256,0.9015054111247222,0.8663945198059082
257,0.8898449796667319,0.8686003088951111
258,0.8906839168341301,0.866008460521698
259,0.8848620021244189,0.861246645450592
260,0.8799494007325309,0.8602399230003357
261,0.8853361036690499,0.8622652888298035
262,0.8808989321823815,0.8601484298706055
263,0.8805734808125213,0.8590239882469177
264,0.8750427145488351,0.8603580594062805
265,0.8742846488651521,0.8608800172805786
