epoch,train_loss,val_loss
1,2.5515784161855395,1.7342474460601807
2,2.4904219668288614,1.7283300161361694
3,2.3772809711745255,1.7025004625320435
4,2.255789336982903,1.6490498781204224
5,2.106718278227976,1.5713295936584473
6,1.9764841260722543,1.4904857873916626
7,1.85388969765936,1.4177817106246948
8,1.7612140794698479,1.3583959341049194
9,1.6859262339069474,1.3079694509506226
10,1.6173720001256517,1.256286859512329
11,1.5620569625336602,1.2163732051849365
12,1.5198540394281295,1.1863572597503662
13,1.4983533572692067,1.1636371612548828
14,1.473306908592681,1.145510196685791
15,1.4572713446162187,1.1316829919815063
16,1.451541240766235,1.1225988864898682
17,1.4439102676070836,1.1148685216903687
18,1.4387422979862996,1.106987476348877
19,1.4286851095280386,1.1041995286941528
20,1.4267438844659426,1.0997639894485474
21,1.4155467669118318,1.0961579084396362
22,1.4154045942866609,1.093038558959961
23,1.4084227564649845,1.0898164510726929
24,1.405755131692125,1.0877375602722168
25,1.402170289991806,1.0842822790145874
26,1.3983050595821918,1.082275629043579
27,1.3986701458441317,1.0795209407806396
28,1.393497659163915,1.0775458812713623
29,1.3923711820667313,1.078324794769287
30,1.3919512622488979,1.0763949155807495
31,1.3859205329086954,1.0752248764038086
32,1.3878759799738905,1.0726521015167236
33,1.382542949279505,1.072137713432312
34,1.380015184999822,1.069684624671936
35,1.376180930234717,1.0715497732162476
36,1.3767120801196944,1.0697335004806519
37,1.3730661501832655,1.0646491050720215
38,1.3675413634759002,1.0630979537963867
39,1.3725475637217426,1.0629889965057373
40,1.3702728788990335,1.0606449842453003
41,1.3659524100199543,1.0604969263076782
42,1.3649976128709633,1.0574928522109985
43,1.3610357217001585,1.0577133893966675
44,1.3565236306051904,1.055172324180603
45,1.3597232039859461,1.0540194511413574
46,1.3592307813278077,1.0544803142547607
47,1.3629334705513514,1.0555814504623413
48,1.357055197844216,1.0532805919647217
49,1.360641573788662,1.0548903942108154
50,1.3567164935315132,1.050676941871643
51,1.3526309170759676,1.0512268543243408
52,1.3575270112119011,1.0496753454208374
53,1.3517231370191094,1.047709584236145
54,1.3488324710995474,1.0475014448165894
