Model,mAP50_box,mAP50_95_box,mAP50_pose,mAP50_95_pose,Precision_box,Recall_box,Params_M,GFLOPs,ModelSize_MB,Train_Time_s,Inference_ms,FPS,Epochs,Best_Epoch,Imgsz
yolo26m-pose,0.9949043062200957,0.8135473479741793,0.9948086124401914,0.7292974454005863,0.9934280773328031,1.0,23.6,0.0,54.8,2539.9,11.1,90.0,300,119,640
yolo26s-pose,0.994759581881533,0.8128210797623556,0.994759581881533,0.7185058120935064,0.985696901388476,0.9939695543913606,12.1,0.0,29.7,1356.9,12.1,82.3,300,110,640
yolov8s-pose,0.9949521531100479,0.8095732234597423,0.9949521531100479,0.7163758411164254,0.9937368880125641,1.0,12.2,0.0,23.5,0.0,13.4,74.7,300,124,640
yolo11m-pose,0.9949521531100479,0.826966121001894,0.9947129186602871,0.7137729902162944,0.994633376794717,1.0,21.4,0.0,41.3,1866.5,19.4,51.4,300,143,640
yolo11s-pose,0.9949043062200957,0.8169642793795768,0.9943680910740802,0.6886916664005212,0.9941687115341273,1.0,10.5,0.0,20.3,626.3,11.3,88.3,300,94,640
yolov8n-pose,0.995,0.8203339812429296,0.9742588746679547,0.6751239814943434,0.9947270633247961,1.0,3.7,0.0,7.2,0.0,15.0,66.8,300,91,640
yolo26n-pose,0.9946143972151967,0.8003849701678402,0.9880765867980963,0.6594787100450958,0.97649987328752,0.998873344395433,4.2,0.0,12.5,636.2,12.5,79.7,300,62,640
yolov8m-pose,0.995,0.8019935256572234,0.9845149661350229,0.6248475475842908,0.9965375454534494,1.0,27.1,0.0,207.5,0.0,15.1,66.2,300,52,640
yolo11n-pose,0.995,0.8032914956703555,0.9739079246189313,0.6144107930689072,0.9992858448492845,0.9951923076923077,3.2,0.0,6.5,265.7,12.0,83.6,300,55,640
