Model,mAP50_box,mAP50_95_box,mAP50_mask,mAP50_95_mask,Precision_box,Recall_box,Precision_mask,Recall_mask,F1_box,F1_mask,Params_M,GFLOPs,ModelSize_MB,Train_Time_s,Inference_ms,FPS,Epochs,Best_Epoch,Imgsz
yolo11m-seg,0.983857411362963,0.9336534348976622,0.983857411362963,0.9606408384896167,0.960340766554987,0.9806451612903225,0.960340766554987,0.9806451612903225,0.9703867581415132,0.9703867581415132,22.3,0.0,43.1,0.0,6.1,165.1,300,58,640
yolov8s-seg,0.9838023545603334,0.9333674582809435,0.9838023545603334,0.9578775572731122,0.9557248292319851,0.9935483870967742,0.9557248292319851,0.9935483870967742,0.9742696403624934,0.9742696403624934,11.8,0.0,22.7,0.0,4.0,251.5,300,43,640
yolo11s-seg,0.9815752947589437,0.9157012159610811,0.9815752947589437,0.9495420288386109,0.9509997567191681,0.9935483870967742,0.9509997567191681,0.9935483870967742,0.9718085639212085,0.9718085639212085,10.1,0.0,19.6,0.0,4.2,236.4,300,27,640
yolov8m-seg,0.9810666037090856,0.9284952893680554,0.9810666037090856,0.9486984080910089,0.9499159699742853,0.9789211904401756,0.9499159699742853,0.9789211904401756,0.9642004897132398,0.9642004897132398,27.2,0.0,52.3,0.0,6.1,164.4,300,26,640
yolov8n-seg,0.9865166499441984,0.934732460941593,0.9865166499441984,0.9483307318361772,0.9550371170342047,1.0,0.9550371170342047,1.0,0.9770015145267322,0.9770015145267322,3.3,0.0,6.5,0.0,3.4,297.5,300,40,640
yolo26m-seg,0.9834795550632986,0.8678828223044063,0.9834795550632986,0.9420890432282583,0.9621769559481028,0.9847413842239131,0.9621769559481028,0.9847413842239131,0.9733284062836758,0.9733284062836758,23.5,0.0,52.0,445.2,6.2,161.8,300,39,640
yolo11n-seg,0.9820834785841169,0.9286507684730291,0.9820834785841169,0.9415423768496002,0.956690317204056,0.9976007864665313,0.956690317204056,0.9976007864665313,0.976717343871168,0.976717343871168,2.8,0.0,5.7,0.0,4.1,244.2,300,29,640
yolo26s-seg,0.9734206629350054,0.8656097419413994,0.9734206629350054,0.937704997124994,0.9416973973548076,0.9612903225806452,0.9416973973548076,0.9612903225806452,0.9513929918058505,0.9513929918058505,10.4,0.0,88.1,0.0,4.6,218.8,300,31,640
yolo26n-seg,0.9758497692181396,0.8790894593532158,0.9758497692181396,0.930829359256402,0.930075179596401,0.9548387096774194,0.930075179596401,0.9548387096774194,0.9422942710868215,0.9422942710868215,2.7,0.0,6.2,0.0,4.3,230.5,300,22,640
