Accuracy,Top3_Accuracy,F1_macro,F1_weighted,AUC_ROC_macro,Cohen_Kappa,MCC,Params_M,Train_Time_s,Inference_ms,Epochs_Trained,Model
0.8814317673378076,0.9507829977628636,0.8831861345178174,0.8823439219627554,0.9785340266659667,0.8682655041453745,0.8689905146254759,1.8,481.6,0.81,86,MobileNetV3_Small
0.8747203579418344,0.9485458612975392,0.8772960456926416,0.876212097315117,0.9799900301958002,0.8608049645784446,0.861927103822421,2.5,461.1,0.78,67,EfficientViT_B0
0.8747203579418344,0.9552572706935123,0.8773069649011488,0.8758197410783276,0.978672507050149,0.860802642480996,0.8615358755579978,4.9,334.0,0.72,42,YOLO26s
0.87248322147651,0.9530201342281879,0.8747558737198007,0.8735549811661685,0.9785830383725882,0.8583114600943145,0.8589804276502613,3.5,318.2,0.77,37,StarNet_S2
0.8680089485458613,0.9440715883668904,0.8706426082326987,0.8695405160066901,0.9773256690795624,0.853360318934217,0.8541584296033046,86.0,0.0,0.76,0,Teacher_BEiT
0.8657718120805369,0.9463087248322147,0.8685795730245702,0.8672366483149232,0.9802410693481587,0.8508525097040407,0.851900076213936,3.0,661.8,0.78,73,XCiT_Nano
0.8635346756152126,0.9395973154362416,0.8662193683692315,0.8652338866094526,0.9730231354886646,0.848397068798719,0.8491620948351163,11.1,495.4,0.78,42,FastViT_T8
0.8635346756152126,0.9530201342281879,0.8663772559582981,0.865277095078721,0.9812196036389663,0.8483675614354115,0.8490429717657554,4.5,445.1,0.87,63,HGNetV2_B0
0.8612975391498882,0.9574944071588367,0.8631297388942191,0.8620531728322972,0.9801787676546153,0.8458929246646945,0.8464767158059864,3.3,404.7,0.86,42,EfficientFormerV2_S0
0.8590604026845637,0.9552572706935123,0.8603514349111121,0.8592566379233331,0.9783264386864753,0.8434203868758028,0.8442797199299915,1.1,418.6,0.82,58,TinyNet_E
0.8590604026845637,0.9574944071588367,0.8621113536102183,0.8609209273950524,0.9796923890740251,0.8433994895093617,0.8441555446011787,2.0,407.1,0.74,54,LCNet
0.8568232662192393,0.9530201342281879,0.8593429436597253,0.8577192331044585,0.978290984991715,0.8409376494267573,0.8420101988051171,2.8,483.1,0.75,73,MobileNetV4_Small
0.854586129753915,0.9440715883668904,0.8572839903693085,0.8559412036897176,0.9760512068115469,0.8384217550884218,0.8395055197278942,3.7,398.7,0.78,52,EfficientNet_Lite0
0.8523489932885906,0.9507829977628636,0.8543207389457231,0.8529796419980304,0.9802163167648772,0.8359514449195661,0.8368545756012927,3.9,322.6,0.78,37,MobileOne_S1
0.8501118568232662,0.9530201342281879,0.8526218797733349,0.8511292984507265,0.9756481501604466,0.8334686387900356,0.83468535819553,1.3,344.8,0.82,43,YOLO26n
0.8501118568232662,0.9507829977628636,0.8536525415291697,0.8520512994234092,0.9758442184105782,0.8334732686480024,0.834834238296095,5.4,265.7,0.8,22,EdgeNeXt_Small
0.8456375838926175,0.959731543624161,0.847760477437015,0.846480155872937,0.9789463277481735,0.8284861089485508,0.8298438101503742,2.9,487.6,0.82,70,RegNetY_002
0.843400447427293,0.9507829977628636,0.8468847081762976,0.8452688664163084,0.9753731252214484,0.826010075734828,0.8267596670767087,5.2,522.1,0.83,65,GhostNetV2
0.843400447427293,0.959731543624161,0.8472546730841047,0.8456312971591052,0.9797206310426037,0.8259810464495462,0.826514442029966,3.5,220.3,0.74,15,ConvNeXtV2_Atto
0.825503355704698,0.959731543624161,0.8275210032685762,0.8259940895032084,0.9758085586566174,0.8061309030654515,0.8068489359727753,1.2,407.3,0.8,53,MobileViTV2
0.8232662192393736,0.9664429530201343,0.8253636285169668,0.8234982893266419,0.9774133611963224,0.8036759677769068,0.8057925800382629,4.8,243.4,0.73,20,RepViT_M1
